Time,Lon,Lat,Temp,Sal,Turb,Flu,Year,Month,Day,YDay,Hour,Lat_round,Northbound,MDay
2009-10-24 06:10:56,10.4694,54.5593,10.34,18.457,1.477,3.232,2009,10,2009-10-24,297,6.16667,54.5625,FALSE,24
2009-10-24 13:21:56,10.4688,54.5588,10.358,17.99,1.694,2.073,2009,10,2009-10-24,297,13.35,54.5625,TRUE,24
2012-06-24 13:18:54,10.4594,54.5566,15.211,12.783,0.7,0.927181,2012,6,2012-06-24,176,13.3,54.5625,TRUE,24
2012-06-24 13:19:55,10.467,54.5595,15.278,12.715,0.7,0.905361,2012,6,2012-06-24,176,13.3167,54.5625,TRUE,24
2012-06-24 13:20:55,10.4746,54.5626,15.294,12.727,0.7,0.905158,2012,6,2012-06-24,176,13.3333,54.5625,TRUE,24
2012-07-28 13:20:55,10.4495,54.5547,18.583,14.116,0.7,1.09507,2012,7,2012-07-28,210,13.3333,54.5625,TRUE,28
2012-07-28 13:21:56,10.4568,54.5578,18.629,14.103,0.7,1.07706,2012,7,2012-07-28,210,13.35,54.5625,TRUE,28
2012-07-28 13:22:56,10.4644,54.5607,18.679,14.106,0.7,1.06553,2012,7,2012-07-28,210,13.3667,54.5625,TRUE,28
2012-07-28 13:23:57,10.472,54.5635,18.716,14.127,0.7,1.04175,2012,7,2012-07-28,210,13.3833,54.5625,TRUE,28
2012-07-28 13:24:57,10.4796,54.5663,18.667,14.172,0.7,1.07346,2012,7,2012-07-28,210,13.4,54.5625,TRUE,28
